task,context,task_id,env,complexity,original_filename,output
"Создай функцию ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект), которая заполняет табличную часть документа «Заказ» «Товары» остатками из регистра «ТоварныеЗапасы» для склада и даты, заданных в документе. Отбирать только товары видом товара = Товар. Для каждой позиции остатка нужно добавить строку в табличную часть и перенести туда товар и количество.","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_001,server,low,,"Функция ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
		""ВЫБРАТЬ
		|	ТоварныеЗапасыОстатки.Товар КАК Товар,
		|	ТоварныеЗапасыОстатки.КоличествоОстаток КАК Количество
		|ИЗ
		|	РегистрНакопления.ТоварныеЗапасы.Остатки(
		|		&Период,
		|		Склад = &Склад
		|			И Товар.ВидТовара = &ВидТовара
		|	) КАК ТоварныеЗапасыОстатки
		|ГДЕ
		|	ТоварныеЗапасыОстатки.КоличествоОстаток > 0"";
		
	Запрос.УстановитьПараметр(""Период"", ДокументОбъект.Дата);
	Запрос.УстановитьПараметр(""Склад"", ДокументОбъект.Склад);
	Запрос.УстановитьПараметр(""ВидТовара"", Перечисления.ВидыТоваров.Товар);
	
	РезультатЗапроса = Запрос.Выполнить();
	
	Если Не РезультатЗапроса.Пустой() Тогда
		// Очищаем табличную часть перед заполнением новыми остатками
		ДокументОбъект.Товары.Очистить();
		
		// Выгружаем результат в таблицу значений и загружаем в табличную часть.
		// Имена колонок в запросе (Товар, Количество) совпадают с колонками ТЧ,
		// поэтому данные распределятся автоматически.
		ДокументОбъект.Товары.Загрузить(РезультатЗапроса.Выгрузить());
	КонецЕсли;
	
КонецФункции"
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) которая выводит в табличный документ задолженность по контрагентам из регистра Взаиморасчеты на дату. В макете есть секции Шапка и Строка, в секции строка есть параметры “Контрагент” и “Задолженность”","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_002,server,mid,,"Функция ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата)
	
	// Очищаем табличный документ перед заполнением
	ТабДокумент.Очистить();
	
	// Получаем области макета
	СекцияШапка  = Макет.ПолучитьОбласть(""Шапка"");
	СекцияСтрока = Макет.ПолучитьОбласть(""Строка"");
	
	// Выводим шапку
	ТабДокумент.Вывести(СекцияШапка);
	
	// Формируем запрос для получения остатков по регистру Взаиморасчеты на указанную дату
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ВзаиморасчетыОстатки.Контрагент КАК Контрагент,
	|	ВзаиморасчетыОстатки.СуммаОстаток КАК Задолженность
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Остатки(&Период, ) КАК ВзаиморасчетыОстатки
	|ГДЕ
	|	ВзаиморасчетыОстатки.СуммаОстаток <> 0
	|
	|УПОРЯДОЧИТЬ ПО
	|	Контрагент"";
	
	// Для регистра остатков период передается на конец дня
	Запрос.УстановитьПараметр(""Период"", КонецДня(Дата));
	
	РезультатЗапроса = Запрос.Выполнить();
	
	// Обходим результат запроса и выводим строки в табличный документ
	Выборка = РезультатЗапроса.Выбрать();
	Пока Выборка.Следующий() Цикл
		СекцияСтрока.Параметры.Контрагент    = Выборка.Контрагент;
		СекцияСтрока.Параметры.Задолженность = Выборка.Задолженность;
		
		ТабДокумент.Вывести(СекцияСтрока);
	КонецЦикла;
	
	Возврат ТабДокумент;
	
КонецФункции"
Создай функцию УстановитьСклад(ДокументОбъект) которая устанавливает во всех строках ТЧ «Товары» значение поля «СкладСтроки» равным реквизиту документа «Склад».,"{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_003,server,low,,"Функция УстановитьСклад(ДокументОбъект)
	
	// Получаем значение склада из реквизита документа
	СкладДокумента = ДокументОбъект.Склад;
	
	// Перебираем все строки табличной части ""Товары""
	Для Каждого СтрокаТовара Из ДокументОбъект.Товары Цикл
		СтрокаТовара.СкладСтроки = СкладДокумента;
	КонецЦикла;
	
КонецФункции"
Создай функцию УдалитьПоследнююЗапись(Валюта) которая удаляет последнюю по времени запись регистра сведений КурсыВалют с измерением Валюта = Валюта,"{
  ""InformationRegisters"": [
    {
      ""id"": ""КурсыВалют"",
      ""name"": ""Курсы валют"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Курс"",
          ""name"": ""Курс"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_004,server,low,,"Функция УдалитьПоследнююЗапись(Валюта)
	
	// Находим последнюю по времени запись для указанной валюты
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ ПЕРВЫЕ 1
	|	КурсыВалют.Период КАК Период
	|ИЗ
	|	РегистрСведений.КурсыВалют КАК КурсыВалют
	|ГДЕ
	|	КурсыВалют.Валюта = &Валюта
	|УПОРЯДОЧИТЬ ПО
	|	КурсыВалют.Период УБЫВ"";
	
	Запрос.УстановитьПараметр(""Валюта"", Валюта);
	
	РезультатЗапроса = Запрос.Выполнить();
	Если РезультатЗапроса.Пустой() Тогда
		Возврат Ложь; // Нет записей для удаления
	КонецЕсли;
	
	Выборка = РезультатЗапроса.Выбрать();
	Выборка.Следующий();
	
	// Удаляем найденную запись через набор записей
	// Для независимого регистра устанавливаем отбор по измерению и периоду
	НаборЗаписей = РегистрыСведений.КурсыВалют.СоздатьНаборЗаписей();
	НаборЗаписей.Отбор.Валюта.Установить(Валюта);
	НаборЗаписей.Отбор.Период.Установить(Выборка.Период);
	НаборЗаписей.Записать();
	
	Возврат Истина;
	
КонецФункции"
Создай функцию НеУстановленыЦены(Поставщик) которая возвращает СписокЗначений с элементами справочника Товары у которых Поставщик = Поставщик и нет записи в регистре сведений ЦеныТоваров,"{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_005,server,low,,"Функция НеУстановленыЦены(Поставщик)
	
	Результат = Новый СписокЗначений;
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Товары.Ссылка КАК Товар
	|ИЗ
	|	Справочник.Товары КАК Товары
	|		ЛЕВОЕ СОЕДИНЕНИЕ РегистрСведений.ЦеныТоваров КАК ЦеныТоваров
	|		ПО Товары.Ссылка = ЦеныТоваров.Товар
	|ГДЕ
	|	Товары.Поставщик = &Поставщик
	|	И ЦеныТоваров.Товар ЕСТЬ NULL"";
	
	Запрос.УстановитьПараметр(""Поставщик"", Поставщик);
	
	Выборка = Запрос.Выполнить().Выбрать();
	
	Пока Выборка.Следующий() Цикл
		Результат.Добавить(Выборка.Товар);
	КонецЦикла;
	
	Возврат Результат;
	
КонецФункции"
"Создай функцию ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson), которая получает остаки товаров склада на текущую дату из регистра ТоварныеЗапасы у которых остаток больше или равен значению МинимальныйОстаток. Записать файл в json формате как список с полями ""Товар_Код"", ""Товар_Наименование"", ""Остаток"" (число, округленное до целого). Строки списка должны быть упорядочены по возрастанию поля Товар_Код","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_006,server,mid,,"Функция ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТоварныеЗапасыОстатки.Товар.Код КАК Товар_Код,
	|	ТоварныеЗапасыОстатки.Товар.Наименование КАК Товар_Наименование,
	|	ТоварныеЗапасыОстатки.КоличествоОстаток КАК Остаток
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(&ТекущаяДата, Склад = &Склад) КАК ТоварныеЗапасыОстатки
	|ГДЕ
	|	ТоварныеЗапасыОстатки.КоличествоОстаток >= &МинимальныйОстаток
	|УПОРЯДОЧИТЬ ПО
	|	Товар_Код"";
	
	Запрос.УстановитьПараметр(""ТекущаяДата"", ТекущаяДата());
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""МинимальныйОстаток"", МинимальныйОстаток);
	
	РезультатЗапроса = Запрос.Выполнить();
	
	// Настройка записи JSON
	ЗаписьJSON = Новый ЗаписьJSON;
	ЗаписьJSON.ОткрытьФайл(ФайлJson);
	ЗаписьJSON.ЗаписатьНачалоМассива();
	
	Выборка = РезультатЗапроса.Выбрать();
	Пока Выборка.Следующий() Цикл
		ЗаписьJSON.ЗаписатьНачалоОбъекта();
		
		ЗаписьJSON.ЗаписатьИмяСвойства(""Товар_Код"");
		ЗаписьJSON.ЗаписатьЗначение(Выборка.Товар_Код);
		
		ЗаписьJSON.ЗаписатьИмяСвойства(""Товар_Наименование"");
		ЗаписьJSON.ЗаписатьЗначение(Выборка.Товар_Наименование);
		
		ЗаписьJSON.ЗаписатьИмяСвойства(""Остаток"");
		// Округляем остаток до целого числа
		ЗаписьJSON.ЗаписатьЗначение(Окр(Выборка.Остаток, 0, РежимОкругления.Окр15как10));
		
		ЗаписьJSON.ЗаписатьКонецОбъекта();
	КонецЦикла;
	
	ЗаписьJSON.ЗаписатьКонецМассива();
	ЗаписьJSON.Закрыть();
	
КонецФункции"
"создай функцию ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование), которая получает на вход параметр типа ТаблицаЗначений
в которой есть колонки ""Склад"", ""Товар"" типа справочник Товары, ""Количество"". Нужно вернуть ТаблицуЗначений, в которую войдут только те строки из входной таблицы, 
у которых значение в колонке ""Склад"" равно параметру Склад, а значение в колонке ""Товар.Наименование"" содержит подстроку параметра ""Наименование"".",,task_007,server,low,,"Функция ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование)
    
    Запрос = Новый Запрос;
    Запрос.Текст = 
    ""ВЫБРАТЬ
    |    ВходнаяТаблица.Склад КАК Склад,
    |    ВходнаяТаблица.Товар КАК Товар,
    |    ВходнаяТаблица.Количество КАК Количество
    |ПОМЕСТИТЬ ВходнаяТаблица
    |ИЗ
    |    &Таблица КАК ВходнаяТаблица
    |
    |////////////////////////////////////////////////////////////////////////////////
    |ВЫБРАТЬ
    |    ВходнаяТаблица.Склад КАК Склад,
    |    ВходнаяТаблица.Товар КАК Товар,
    |    ВходнаяТаблица.Количество КАК Количество
    |ИЗ
    |    ВходнаяТаблица КАК ВходнаяТаблица
    |ГДЕ
    |    ВходнаяТаблица.Склад = &Склад
    |    И ВходнаяТаблица.Товар.Наименование ПОДОБНО &Наименование"";
    
    Запрос.УстановитьПараметр(""Таблица"", Таблица);
    Запрос.УстановитьПараметр(""Склад"", Склад);
    Запрос.УстановитьПараметр(""Наименование"", ""%"" + Наименование + ""%"");
    
    Результат = Запрос.Выполнить();
    
    Возврат Результат.Выгрузить();
    
КонецФункции"
"Создай функцию УшедшийТовар(Дата1, Дата2), которая возвращает таблицу значений с товаром, который был на складе (любом) на Дата1, но отсутствует на складе на Дата2. 
Использовать остатки регистра ""ТоварныеЗапасы"".
В таблице должны быть колонки: ""Товар"" (ссылка на справочник Товары), ""Количество"" (количество товара на Дата1).","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_008,server,mid,,"Функция УшедшийТовар(Дата1, Дата2)
    
    Запрос = Новый Запрос;
    Запрос.Текст = 
    ""ВЫБРАТЬ
    |    ОстаткиНаДату1.Товар КАК Товар,
    |    ОстаткиНаДату1.Количество КАК Количество
    |ИЗ
    |    РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата1, , Товар) КАК ОстаткиНаДату1
    |ЛЕВОЕ СОЕДИНЕНИЕ РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата2, , Товар) КАК ОстаткиНаДату2
    |ПО ОстаткиНаДату1.Товар = ОстаткиНаДату2.Товар
    |ГДЕ
    |    ОстаткиНаДату1.Количество > 0
    |    И ЕСТЬ NULL(ОстаткиНаДату2.Количество, 0) <= 0"";
    
    Запрос.УстановитьПараметр(""Дата1"", Дата1);
    Запрос.УстановитьПараметр(""Дата2"", Дата2);
    
    РезультатЗапроса = Запрос.Выполнить();
    
    Возврат РезультатЗапроса.Выгрузить();

КонецФункции"
"создай функцию ПросроченныеДолги(Дата, МинДолг, СрокДолга), которая возвращает таблицу значений с контрагентами, 
у которых на заданную дату есть долг больше МинДолг, и этот долг, или его часть, образовался более СрокДолга дней назад. Задолженность смотреть в регистре накопления Взаиморасчеты.
В таблице должны быть колонки: Контрагент, ДолгВсего, ДолгПросроченный, ДатаОбразованияДолга.","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_009,server,high,,"Функция ПросроченныеДолги(Дата, МинДолг, СрокДолга)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ВзаиморасчетыОстатки.Контрагент КАК Контрагент,
	|	ВзаиморасчетыОстатки.СуммаОстаток КАК ДолгВсего
	|ПОМЕСТИТЬ ВТ_Балансы
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Остатки(&Дата, ) КАК ВзаиморасчетыОстатки
	|ГДЕ
	|	ВзаиморасчетыОстатки.СуммаОстаток > &МинДолг
	|
	|ИНДЕКСИРОВАТЬ ПО
	|	Контрагент
	|;
	|
	|////////////////////////////////////////////////////////////////////////////////
	|ВЫБРАТЬ
	|	ВзаиморасчетыОбороты.Контрагент КАК Контрагент,
	|	КОНЕЦПЕРИОДА(ВзаиморасчетыОбороты.Период, ДЕНЬ) КАК Период,
	|	СУММА(ВзаиморасчетыОбороты.СуммаПриход) КАК СуммаПриход
	|ПОМЕСТИТЬ ВТ_Приход
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Обороты(, &Дата, ДвиженияИГраницы, , , , Контрагент, ПериодДень) КАК ВзаиморасчетыОбороты
	|		ВНУТРЕННЕЕ СОЕДИНЕНИЕ ВТ_Балансы
	|		ПО Взаиморасчеты"
"создай функцию СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
Параметры:
 - Письмо - СправочникСсылка.ИсходящиеПисьма - элемент справочника, на основании которого
			следует оформить объект системы ИнтернетПочтовоеСообщение для дальнейшей
				отправки с помощью механизмов интернет почты.
- Отправитель - Строка – email отправителя почтового сообщения

Возвращаемое значение:
    Объект ИнтернетПочтовоеСообщение. Содержит почтовое сообщение, готовое к отправке.","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_010,server,mid,,"Функция СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
    
    ПочтовоеСообщение = Новый ИнтернетПочтовоеСообщение;
    
    // Устанавливаем отправителя
    ПочтовоеСообщение.Отправитель = Отправитель;
    
    // Тема письма (используем Наименование как тему)
    ПочтовоеСообщение.Тема = Письмо.Наименование;
    
    // Устанавливаем текст письма
    ТекстСообщения = ПочтовоеСообщение.Тексты.Добавить();
    ТекстСообщения.Текст = Письмо.Текст;
    ТекстСообщения.ТипТекста = ТипТекстаПочтовогоСообщения.ПростойТекст;
    
    // Добавляем получателей из табличной части ""Получатели""
    Для Каждого СтрокаПолучатель Из Письмо.Получатели Цикл
        Если ЗначениеЗаполнено(СтрокаПолучатель.ЭлектроннаяПочта) Тогда
            ПочтовоеСообщение.Получатели.Добавить(СтрокаПолучатель.ЭлектроннаяПочта);
        КонецЕсли;
    КонецЦикла;
    
    // Если получателей в табличной части нет, добавляем из реквизита ""Получатель""
    Если ПочтовоеСообщение.Получатели.Количество() = 0 И ЗначениеЗаполнено(Письмо.Получатель) Тогда
        ПочтовоеСообщение.Получатели.Добавить(Письмо.Получатель);
    КонецЕсли;
    
    Возврат ПочтовоеСообщение;
    
КонецФункции"
