task,context,task_id,env,complexity,original_filename,output
"Создай функцию ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект), которая заполняет табличную часть документа «Заказ» «Товары» остатками из регистра «ТоварныеЗапасы» для склада и даты, заданных в документе. Отбирать только товары видом товара = Товар. Для каждой позиции остатка нужно добавить строку в табличную часть и перенести туда товар и количество.","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_001,server,low,,"Процедура ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект)
	
	ДокументОбъект.Товары.Очистить();
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТоварныеЗапасыОстатки.Товар КАК Товар,
	|	ТоварныеЗапасыОстатки.КоличествоОстаток КАК Количество
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата, Склад = &Склад) КАК ТоварныеЗапасыОстатки
	|ГДЕ
	|	ТоварныеЗапасыОстатки.Товар.ВидТовара = ЗНАЧЕНИЕ(Перечисление.ВидыТоваров.Товар)
	|	И ТоварныеЗапасыОстатки.КоличествоОстаток > 0"";
	
	Запрос.УстановитьПараметр(""Дата"", ДокументОбъект.Дата);
	Запрос.УстановитьПараметр(""Склад"", ДокументОбъект.Склад);
	
	Результат = Запрос.Выполнить();
	Выборка = Результат.Выбрать();
	
	Пока Выборка.Следующий() Цикл
		НоваяСтрока = ДокументОбъект.Товары.Добавить();
		НоваяСтрока.Товар = Выборка.Товар;
		НоваяСтрока.Количество = Выборка.Количество;
	КонецЦикла;
	
КонецПроцедуры"
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) которая выводит в табличный документ задолженность по контрагентам из регистра Взаиморасчеты на дату. В макете есть секции Шапка и Строка, в секции строка есть параметры “Контрагент” и “Задолженность”","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_002,server,mid,,"Процедура ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата)
	
	ТабДокумент.Очистить();
	
	// Вывод шапки
	ОбластьШапка = Макет.ПолучитьОбласть(""Шапка"");
	ТабДокумент.Вывести(ОбластьШапка);
	
	// Получение данных о задолженности
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ВзаиморасчетыОстатки.Контрагент КАК Контрагент,
	|	ВзаиморасчетыОстатки.СуммаОстаток КАК Задолженность
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Остатки(&Дата) КАК ВзаиморасчетыОстатки
	|ГДЕ
	|	ВзаиморасчетыОстатки.СуммаОстаток > 0
	|УПОРЯДОЧИТЬ ПО
	|	Контрагент"";
	
	Запрос.УстановитьПараметр(""Дата"", Дата);
	
	Результат = Запрос.Выполнить();
	Выборка = Результат.Выбрать();
	
	// Вывод строк
	ОбластьСтрока = Макет.ПолучитьОбласть(""Строка"");
	
	Пока Выборка.Следующий() Цикл
		ОбластьСтрока.Параметры.Контрагент = Выборка.Контрагент;
		ОбластьСтрока.Параметры.Задолженность = Выборка.Задолженность;
		ТабДокумент.Вывести(ОбластьСтрока);
	КонецЦикла;
	
КонецПроцедуры"
Создай функцию УстановитьСклад(ДокументОбъект) которая устанавливает во всех строках ТЧ «Товары» значение поля «СкладСтроки» равным реквизиту документа «Склад».,"{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_003,server,low,,"Процедура УстановитьСклад(ДокументОбъект)
	
	Для Каждого СтрокаТовары Из ДокументОбъект.Товары Цикл
		СтрокаТовары.СкладСтроки = ДокументОбъект.Склад;
	КонецЦикла;
	
КонецПроцедуры"
Создай функцию УдалитьПоследнююЗапись(Валюта) которая удаляет последнюю по времени запись регистра сведений КурсыВалют с измерением Валюта = Валюта,"{
  ""InformationRegisters"": [
    {
      ""id"": ""КурсыВалют"",
      ""name"": ""Курсы валют"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Курс"",
          ""name"": ""Курс"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_004,server,low,,"Процедура УдалитьПоследнююЗапись(Валюта)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ ПЕРВЫЕ 1
	|	КурсыВалют.Период КАК Период,
	|	КурсыВалют.Валюта КАК Валюта
	|ИЗ
	|	РегистрСведений.КурсыВалют КАК КурсыВалют
	|ГДЕ
	|	КурсыВалют.Валюта = &Валюта
	|УПОРЯДОЧИТЬ ПО
	|	Период УБЫВ"";
	
	Запрос.УстановитьПараметр(""Валюта"", Валюта);
	
	Результат = Запрос.Выполнить();
	
	Если НЕ Результат.Пустой() Тогда
		Выборка = Результат.Выбрать();
		Выборка.Следующий();
		
		НаборЗаписей = РегистрыСведений.КурсыВалют.СоздатьНаборЗаписей();
		НаборЗаписей.Отбор.Период.Установить(Выборка.Период);
		НаборЗаписей.Отбор.Валюта.Установить(Выборка.Валюта);
		НаборЗаписей.Записать();
	КонецЕсли;
	
КонецПроцедуры"
Создай функцию НеУстановленыЦены(Поставщик) которая возвращает СписокЗначений с элементами справочника Товары у которых Поставщик = Поставщик и нет записи в регистре сведений ЦеныТоваров,"{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_005,server,low,,"Функция НеУстановленыЦены(Поставщик)
	
	СписокТоваров = Новый СписокЗначений;
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Товары.Ссылка КАК Товар
	|ИЗ
	|	Справочник.Товары КАК Товары
	|		ЛЕВОЕ СОЕДИНЕНИЕ РегистрСведений.ЦеныТоваров КАК ЦеныТоваров
	|		ПО Товары.Ссылка = ЦеныТоваров.Товар
	|ГДЕ
	|	Товары.Поставщик = &Поставщик
	|	И ЦеныТоваров.Товар ЕСТЬ NULL"";
	
	Запрос.УстановитьПараметр(""Поставщик"", Поставщик);
	
	Результат = Запрос.Выполнить();
	Выборка = Результат.Выбрать();
	
	Пока Выборка.Следующий() Цикл
		СписокТоваров.Добавить(Выборка.Товар);
	КонецЦикла;
	
	Возврат СписокТоваров;
	
КонецФункции"
"Создай функцию ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson), которая получает остаки товаров склада на текущую дату из регистра ТоварныеЗапасы у которых остаток больше или равен значению МинимальныйОстаток. Записать файл в json формате как список с полями ""Товар_Код"", ""Товар_Наименование"", ""Остаток"" (число, округленное до целого). Строки списка должны быть упорядочены по возрастанию поля Товар_Код","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_006,server,mid,,"Функция ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТоварныеЗапасыОстатки.Товар.Код КАК Товар_Код,
	|	ТоварныеЗапасыОстатки.Товар.Наименование КАК Товар_Наименование,
	|	ТоварныеЗапасыОстатки.КоличествоОстаток КАК Остаток
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(&ДатаОстатков, Склад = &Склад) КАК ТоварныеЗапасыОстатки
	|ГДЕ
	|	ТоварныеЗапасыОстатки.КоличествоОстаток >= &МинимальныйОстаток
	|УПОРЯДОЧИТЬ ПО
	|	Товар_Код ВОЗР"";
	
	Запрос.УстановитьПараметр(""ДатаОстатков"", КонецДня(ТекущаяДата()));
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""МинимальныйОстаток"", МинимальныйОстаток);
	
	Результат = Запрос.Выполнить();
	Выборка = Результат.Выбрать();
	
	МассивДанных = Новый Массив;
	
	Пока Выборка.Следующий() Цикл
		СтрокаДанных = Новый Структура;
		СтрокаДанных.Вставить(""Товар_Код"", Выборка.Товар_Код);
		СтрокаДанных.Вставить(""Товар_Наименование"", Выборка.Товар_Наименование);
		СтрокаДанных.Вставить(""Остаток"", Окр(Выборка.Остаток, 0));
		МассивДанных.Добавить(СтрокаДанных);
	КонецЦикла;
	
	ЗаписьJSON = Новый ЗаписьJSON;
	ЗаписьJSON.ОткрытьФайл(ФайлJson);
	ЗаписатьJSON(ЗаписьJSON, МассивДанных);
	ЗаписьJSON.Закрыть();
	
	Возврат МассивДанных.Количество();
	
КонецФункции"
"создай функцию ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование), которая получает на вход параметр типа ТаблицаЗначений
в которой есть колонки ""Склад"", ""Товар"" типа справочник Товары, ""Количество"". Нужно вернуть ТаблицуЗначений, в которую войдут только те строки из входной таблицы, 
у которых значение в колонке ""Склад"" равно параметру Склад, а значение в колонке ""Товар.Наименование"" содержит подстроку параметра ""Наименование"".",,task_007,server,low,,"Функция ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование)
	
	Результат = Таблица.СкопироватьКолонки();
	
	Для Каждого Строка Из Таблица Цикл
		Если Строка.Склад = Склад И Найти(Строка.Товар.Наименование, Наименование) > 0 Тогда
			НоваяСтрока = Результат.Добавить();
			ЗаполнитьЗначенияСвойств(НоваяСтрока, Строка);
		КонецЕсли;
	КонецЦикла;
	
	Возврат Результат;
	
КонецФункции"
"Создай функцию УшедшийТовар(Дата1, Дата2), которая возвращает таблицу значений с товаром, который был на складе (любом) на Дата1, но отсутствует на складе на Дата2. 
Использовать остатки регистра ""ТоварныеЗапасы"".
В таблице должны быть колонки: ""Товар"" (ссылка на справочник Товары), ""Количество"" (количество товара на Дата1).","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_008,server,mid,,"Функция УшедшийТовар(Дата1, Дата2)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Остатки1.Товар КАК Товар,
	|	Остатки1.КоличествоОстаток КАК Количество
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата1, ) КАК Остатки1
	|		ЛЕВОЕ СОЕДИНЕНИЕ РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата2, ) КАК Остатки2
	|		ПО Остатки1.Товар = Остатки2.Товар
	|ГДЕ
	|	Остатки2.Товар ЕСТЬ NULL"";
	
	Запрос.УстановитьПараметр(""Дата1"", Дата1);
	Запрос.УстановитьПараметр(""Дата2"", Дата2);
	
	Результат = Запрос.Выполнить().Выгрузить();
	
	Возврат Результат;
	
КонецФункции"
"создай функцию ПросроченныеДолги(Дата, МинДолг, СрокДолга), которая возвращает таблицу значений с контрагентами, 
у которых на заданную дату есть долг больше МинДолг, и этот долг, или его часть, образовался более СрокДолга дней назад. Задолженность смотреть в регистре накопления Взаиморасчеты.
В таблице должны быть колонки: Контрагент, ДолгВсего, ДолгПросроченный, ДатаОбразованияДолга.","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_009,server,high,,"Функция ПросроченныеДолги(Дата, МинДолг, СрокДолга) Экспорт
	
	ДатаНачалаПросрочки = Дата - СрокДолга * 86400;
	
	// Получаем остатки на дату по контрагентам
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Остатки.Контрагент КАК Контрагент,
	|	СУММА(Остатки.СуммаОстаток) КАК ДолгВсего
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты.Остатки(&Дата, ) КАК Остатки
	|ГДЕ
	|	Остатки.СуммаОстаток > 0
	|СГРУППИРОВАТЬ ПО
	|	Остатки.Контрагент
	|ИМЕЮЩИЕ
	|	СУММА(Остатки.СуммаОстаток) > &МинДолг"";
	
	Запрос.УстановитьПараметр(""Дата"", Дата);
	Запрос.УстановитьПараметр(""МинДолг"", МинДолг);
	
	РезультатОстатки = Запрос.Выполнить();
	
	ТаблицаОстатков = РезультатОстатки.Выгрузить();
	
	// Для каждого контрагента с долгом определяем просроченную часть и дату образования
	ТаблицаРезультат = Новый ТаблицаЗначений;
	ТаблицаРезультат.Колонки.Добавить(""Контрагент"");
	ТаблицаРезультат.Колонки.Добавить(""ДолгВсего"");
	ТаблицаРезультат.Колонки.Добавить(""ДолгПросроченный"");
	ТаблицаРезультат.Колонки.Добавить(""ДатаОбразованияДолга"");
	
	Если ТаблицаОстатков.Количество() = 0 Тогда
		Возврат ТаблицаРезультат;
	КонецЕсли;
	
	// Получаем обороты по контрагентам для определения просроченной части долга
	// Анализируем движения, чтобы определить когда образовался долг
	ЗапросДвижений = Новый Запрос;
	ЗапросДвижений.Текст = 
	""ВЫБРАТЬ
	|	Движения.Контрагент КАК Контрагент,
	|	Движения.Период КАК Период,
	|	Движения.ВидДвижения КАК ВидДвижения,
	|	Движения.Сумма КАК Сумма
	|ИЗ
	|	РегистрНакопления.Взаиморасчеты КАК Движения
	|ГДЕ
	|	Движения.Период < &Дата
	|	И Движения.Контрагент В (&СписокКонтрагентов)
	|УПОРЯДОЧИТЬ ПО
	|	Движения.Контрагент,
	|	Движения.Период"";
	
	СписокКонтрагентов = Новый Массив;
	Для Каждого СтрокаОстатка Из ТаблицаОстатков Цикл
		СписокКонтрагентов.Добавить(СтрокаОстатка.Контрагент);
	КонецЦикла;
	
	ЗапросДвижений.УстановитьПараметр(""Дата"", Дата);
	ЗапросДвижений.УстановитьПараметр(""СписокКонтрагентов"", СписокКонтрагентов);
	
	РезультатДвижений = ЗапросДвижений.Выполнить();
	ТаблицаДвижений = РезультатДвижений.Выгрузить();
	
	// Для каждого контрагента восстанавливаем историю долга методом FIFO
	Для Каждого СтрокаОстатка Из ТаблицаОстатков Цикл
		
		ТекКонтрагент = СтрокаОстатка.Контрагент;
		ДолгВсего = СтрокаОстатка.ДолгВсего;
		
		// Собираем движения по контрагенту в хронологическом порядке
		// Формируем очередь приходов (увеличение долга) по FIFO
		ОчередьПриходов = Новый Массив; // Массив структур {Период, Сумма}
		
		ОтборСтрок = Новый Структура(""Контрагент"", ТекКонтрагент);
		НайденныеСтроки = ТаблицаДвижений.НайтиСтроки(ОтборСтрок);
		
		Для Каждого СтрокаДвижения Из НайденныеСтроки Цикл
			Если СтрокаДвижения.ВидДвижения = ВидДвиженияНакопления.Приход Тогда
				// Приход увеличивает долг
				НоваяЗапись = Новый Структура(""Период, Сумма"", СтрокаДвижения.Период, СтрокаДвижения.Сумма);
				ОчередьПриходов.Добавить(НоваяЗапись);
			ИначеЕсли СтрокаДвижения.ВидДвижения = ВидДвиженияНакопления.Расход Тогда
				// Расход уменьшает долг - списываем по FIFO
				ОсталосьСписать = СтрокаДвижения.Сумма;
				Индекс = 0;
				Пока ОсталосьСписать > 0 И Индекс < ОчередьПриходов.Количество() Цикл
					Если ОчередьПриходов[Индекс].Сумма <= ОсталосьСписать Тогда
						ОсталосьСписать = ОсталосьСписать - ОчередьПриходов[Индекс].Сумма;
						ОчередьПриходов[Индекс].Сумма = 0;
					Иначе
						ОчередьПриходов[Индекс].Сумма = ОчередьПриходов[Индекс].Сумма - ОсталосьСписать;
						ОсталосьСписать = 0;
					КонецЕсли;
					Индекс = Индекс + 1;
				КонецЦикла;
			КонецЕсли;
		КонецЦикла;
		
		// Удаляем нулевые записи из очереди
		Индекс = ОчередьПриходов.Количество() - 1;
		Пока Индекс >= 0 Цикл
			Если ОчередьПриходов[Индекс].Сумма = 0 Тогда
				ОчередьПриходов.Удалить(Индекс);
			КонецЕсли;
			Индекс = Индекс - 1;
		КонецЦикла;
		
		// Определяем просроченную часть долга и дату образования
		ДолгПросроченный = 0;
		ДатаОбразованияДолга = Неопределено;
		
		Для Каждого ЗаписьОчереди Из ОчередьПриходов Цикл
			Если ЗаписьОчереди.Период < ДатаНачалаПросрочки И ЗаписьОчереди.Сумма > 0 Тогда
				ДолгПросроченный = ДолгПросроченный + ЗаписьОчереди.Сумма;
				Если ДатаОбразованияДолга = Неопределено Тогда
					ДатаОбразованияДолга = ЗаписьОчереди.Период;
				КонецЕсли;
			КонецЕсли;
		КонецЦикла;
		
		// Добавляем в результат только если есть просроченный долг
		Если ДолгПросроченный > 0 Тогда
			НоваяСтрока = ТаблицаРезультат.Добавить();
			НоваяСтрока.Контрагент = ТекКонтрагент;
			НоваяСтрока.ДолгВсего = ДолгВсего;
			НоваяСтрока.ДолгПросроченный = ДолгПросроченный;
			НоваяСтрока.ДатаОбразованияДолга = ДатаОбразованияДолга;
		КонецЕсли;
		
	КонецЦикла;
	
	Возврат ТаблицаРезультат;
	
КонецФункции"
"создай функцию СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
Параметры:
 - Письмо - СправочникСсылка.ИсходящиеПисьма - элемент справочника, на основании которого
			следует оформить объект системы ИнтернетПочтовоеСообщение для дальнейшей
				отправки с помощью механизмов интернет почты.
- Отправитель - Строка – email отправителя почтового сообщения

Возвращаемое значение:
    Объект ИнтернетПочтовоеСообщение. Содержит почтовое сообщение, готовое к отправке.","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_010,server,mid,,"Функция СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
	
	ПочтовоеСообщение = Новый ИнтернетПочтовоеСообщение;
	
	// Установка отправителя
	ПочтовоеСообщение.Отправитель = Отправитель;
	
	// Установка темы письма (наименование справочника)
	ПочтовоеСообщение.Тема = Письмо.Наименование;
	
	// Установка даты отправки
	ПочтовоеСообщение.ДатаОтправки = Письмо.Дата;
	
	// Заполнение получателей из табличной части
	Для Каждого СтрокаПолучатель Из Письмо.Получатели Цикл
		ПочтовоеСообщение.Получатели.Добавить(СтрокаПолучатель.ЭлектроннаяПочта);
	КонецЦикла;
	
	// Установка текста сообщения
	ПочтовоеСообщение.Тексты.Добавить(Письмо.Текст);
	
	Возврат ПочтовоеСообщение;
	
КонецФункции"
