task,context,task_id,env,complexity,original_filename,output
"Создай функцию ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект), которая заполняет табличную часть документа «Заказ» «Товары» остатками из регистра «ТоварныеЗапасы» для склада и даты, заданных в документе. Отбирать только товары видом товара = Товар. Для каждой позиции остатка нужно добавить строку в табличную часть и перенести туда товар и количество.","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_001,server,low,,"Функция ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект) Экспорт

	Если ПустаяСтрока(ДокументОбъект.Склад) ИЛИ ПустаяСтрока(ДокументОбъект.Дата) Тогда
		Возврат;
	КонецЕсли;

	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТЗ.Товар,
	|	ТЗ.КоличествоОстаток КАК Количество
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки КАК ТЗ
	|		ЛЕВОЕ СОЕДИНЕНИЕ Справочник.Товары КАК Товары
	|		ПО ТЗ.Товар = Товары.Ссылка
	|ГДЕ
	|	ТЗ.Склад = &Склад
	|	И ТЗ.Период = &Дата
	|	И Товары.ВидТовара = &ВидТовара"";

	Запрос.УстановитьПараметр(""Склад"", ДокументОбъект.Склад);
	Запрос.УстановитьПараметр(""Дата"", ДокументОбъект.Дата);
	Запрос.УстановитьПараметр(""ВидТовара"", Справочники.ВидыТоваров.Товар);

	РезультатЗапроса = Запрос.Выполнить();
	Выборка = РезультатЗапроса.Выбрать();

	ДокументОбъект.Товары.Очистить();

	Пока Выборка.Следующий() Цикл
		НоваяСтрока = ДокументОбъект.Товары.Добавить();
		НоваяСтрока.Товар = Выборка.Товар;
		НоваяСтрока.Количество = Выборка.Количество;
	КонецЦикла;

КонецФункции"
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) которая выводит в табличный документ задолженность по контрагентам из регистра Взаиморасчеты на дату. В макете есть секции Шапка и Строка, в секции строка есть параметры “Контрагент” и “Задолженность”","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_002,server,mid,,"Функция ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) Экспорт

    Запрос = Новый Запрос;
    Запрос.Текст = 
    ""ВЫБРАТЬ
    |    ОСТАТКИ.Контрагент,
    |    СУММА(ОСТАТКИ.Сумма) КАК Задолженность
    |ИЗ
    |    РегистрНакопления.Взаиморасчеты ОСТАТКИ НА &Дата
    |СГРУППИРОВАТЬ ПО
    |    ОСТАТКИ.Контрагент"";

    Запрос.УстановитьПараметр(""Дата"", Дата);

    РезультатЗапроса = Запрос.Выполнить();
    Выборка = РезультатЗапроса.Выбрать();

    ОбластьШапка = Макет.ПолучитьОбласть(""Шапка"");
    ОбластьСтрока = Макет.ПолучитьОбласть(""Строка"");

    ТабДокумент.Вывести(ОбластьШапка);

    Пока Выборка.Следующий() Цикл
        ОбластьСтрока.Параметры.Контрагент = Выборка.Контрагент;
        ОбластьСтрока.Параметры.Задолженность = Выборка.Задолженность;
        ТабДокумент.Вывести(ОбластьСтрока);
    КонецЦикла;

    Возврат ТабДокумент;

КонецФункции"
Создай функцию УстановитьСклад(ДокументОбъект) которая устанавливает во всех строках ТЧ «Товары» значение поля «СкладСтроки» равным реквизиту документа «Склад».,"{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_003,server,low,,"Функция УстановитьСклад(ДокументОбъект) Экспорт
    Если ДокументОбъект = Неопределено Тогда
        Возврат;
    КонецЕсли;

    Для Каждого СтрокаТовары Из ДокументОбъект.Товары Цикл
        СтрокаТовары.СкладСтроки = ДокументОбъект.Склад;
        // Помечаем строку для обновления при последующей записи документа
        СтрокаТовары.Метка = Истина;
    КонецЦикла;
КонецФункции"
Создай функцию УдалитьПоследнююЗапись(Валюта) которая удаляет последнюю по времени запись регистра сведений КурсыВалют с измерением Валюта = Валюта,"{
  ""InformationRegisters"": [
    {
      ""id"": ""КурсыВалют"",
      ""name"": ""Курсы валют"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Курс"",
          ""name"": ""Курс"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_004,server,low,,"Функция УдалитьПоследнююЗапись(Валюта) Экспорт
    Запрос = Новый Запрос;
    Запрос.Текст =
    ""УДАЛИТЬ
    |	*
    |ИЗ
    |	РегистрСведений.КурсыВалют
    |ГДЕ
    |	Валюта = &Валюта
    |	И Период = (
    |		ВЫБРАТЬ МАКСИМУМ(Период)
    |		ИЗ РегистрСведений.КурсыВалют
    |		ГДЕ Валюта = &Валюта)"";
    Запрос.УстановитьПараметр(""Валюта"", Валюта);
    Запрос.Выполнить();
КонецФункции"
Создай функцию НеУстановленыЦены(Поставщик) которая возвращает СписокЗначений с элементами справочника Товары у которых Поставщик = Поставщик и нет записи в регистре сведений ЦеныТоваров,"{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_005,server,low,,"```bsl
Функция НеУстановленыЦены(Поставщик) Экспорт
    Запрос = Новый Запрос;
    Запрос.Текст =
    ""ВЫБРАТЬ
    |	Товары.Ссылка
    |ИЗ
    |	Справочник.Товары КАК Товары
    |ГДЕ
    |	Товары.Поставщик = &Поставщик
    |	И НЕ СУЩЕСТВУЕТ(
    |		ВЫБРАТЬ
    |		Ссылка
    |	ИЗ
    |		РегистрСведений.ЦеныТоваров КАК Цены
    |	ГДЕ
    |		Цены.Товар = Товары.Ссылка
    |	)"";
    Запрос.УстановитьПараметр(""Поставщик"", Поставщик);
    Результат = Запрос.Выполнить();
    Выборка = Результат.Выбрать();
    Список = Новый СписокЗначений;
    Пока Выборка.Следующий() Цикл
        Список.Добавить(Выборка.Ссылка);
    КонецЦикла;
    Возврат Список;
КонецФункции
```"
"Создай функцию ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson), которая получает остаки товаров склада на текущую дату из регистра ТоварныеЗапасы у которых остаток больше или равен значению МинимальныйОстаток. Записать файл в json формате как список с полями ""Товар_Код"", ""Товар_Наименование"", ""Остаток"" (число, округленное до целого). Строки списка должны быть упорядочены по возрастанию поля Товар_Код","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_006,server,mid,,"Функция ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson) Экспорт

	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	ТоварныеЗапасы.Товар.Код,
	|	ТоварныеЗапасы.Товар.Наименование,
	|	ТоварныеЗапасы.Количество
	|ИЗ
	|	РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата, &Склад) КАК ТоварныеЗапасы
	|ГДЕ
	|	ТоварныеЗапасы.Количество >= &МинимальныйОстаток
	|УПОРЯДОЧИТЬ ПО
	|	Товар.Код ВОЗР"";

	Запрос.УстановитьПараметр(""Дата"", ТекущаяДата());
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""МинимальныйОстаток"", МинимальныйОстаток);

	Выборка = Запрос.Выполнить().Выбрать();

	ЗаписьJSON = Новый ЗаписьJSON;
	ЗаписьJSON.ОткрытьФайл(ФайлJson);
	ЗаписьJSON.ЗаписатьНачалоМассива();

	Пока Выборка.Следующий() Цикл
		ЗаписьJSON.ЗаписатьНачалоОбъекта();
		
		ЗаписьJSON.ЗаписатьИмяСвойства(""Товар_Код"");
		ЗаписьJSON.ЗаписатьЗначение(Выборка.Товар_Код);
		
		ЗаписьJSON.ЗаписатьИмяСвойства(""Товар_Наименование"");
		ЗаписьJSON.ЗаписатьЗначение(Выборка.Товар_Наименование);
		
		ЗаписьJSON.ЗаписатьИмяСвойства(""Остаток"");
		ЗаписьJSON.ЗаписатьЗначение(Окр(Выборка.Количество, 0));
		
		ЗаписьJSON.ЗаписатьКонецОбъекта();
	КонецЦикла;

	ЗаписьJSON.ЗаписатьКонецМассива();
	ЗаписьJSON.Закрыть();

	Возврат Истина;

КонецФункции"
"создай функцию ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование), которая получает на вход параметр типа ТаблицаЗначений
в которой есть колонки ""Склад"", ""Товар"" типа справочник Товары, ""Количество"". Нужно вернуть ТаблицуЗначений, в которую войдут только те строки из входной таблицы, 
у которых значение в колонке ""Склад"" равно параметру Склад, а значение в колонке ""Товар.Наименование"" содержит подстроку параметра ""Наименование"".",,task_007,server,low,,"Функция ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование) Экспорт
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Таблица.Склад,
	|	Таблица.Товар,
	|	Таблица.Количество
	|ИЗ
	|	&Таблица КАК Таблица
	|ГДЕ
	|	Таблица.Склад = &Склад
	|	И Таблица.Товар.Наименование ПОДОБНО ""%&Наименование%"";
	
	Запрос.УстановитьПараметр(""Таблица"", Таблица);
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""Наименование"", Наименование);
	
	Возврат Запрос.Выполнить().Выгрузить();
КонецФункции"
"Создай функцию УшедшийТовар(Дата1, Дата2), которая возвращает таблицу значений с товаром, который был на складе (любом) на Дата1, но отсутствует на складе на Дата2. 
Использовать остатки регистра ""ТоварныеЗапасы"".
В таблице должны быть колонки: ""Товар"" (ссылка на справочник Товары), ""Количество"" (количество товара на Дата1).","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_008,server,mid,,"Функция УшедшийТовар(Дата1, Дата2) Экспорт
    
    Запрос = Новый Запрос;
    Запрос.Текст = 
    ""ВЫБРАТЬ |""
    + ""    ТоварныеЗапасы.Товар КАК Товар, |""
    + ""    СУММА(ТоварныеЗапасы.Количество) КАК Количество |""
    + ""ИЗ |""
    + ""    РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата1) КАК ТоварныеЗапасы |""
    + ""ГДЕ |""
    + ""    ТоварныеЗапасы.Количество > 0 |""
    + ""    И ТоварныеЗапасы.Товар НЕ В ВЫБОРКЕ ( |""
    + ""        ВЫБРАТЬ РАЗЛИЧНЫЕ ТоварныеЗапасы2.Товар |""
    + ""        ИЗ РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата2) КАК ТоварныеЗапасы2 |""
    + ""        ГДЕ ТоварныеЗапасы2.Количество > 0 |""
    + ""    ) |""
    + ""СГРУППИРОВАТЬ ПО |""
    + ""    ТоварныеЗапасы.Товар"";
    
    Запрос.УстановитьПараметр(""Дата1"", Дата1);
    Запрос.УстановитьПараметр(""Дата2"", Дата2);
    
    РезультатЗапроса = Запрос.Выполнить();
    
    Если РезультатЗапроса.Пустой() Тогда
        Возврат Новый ТаблицаЗначений;
    КонецЕсли;
    
    Возврат РезультатЗапроса.Выгрузить();
    
КонецФункции"
"создай функцию ПросроченныеДолги(Дата, МинДолг, СрокДолга), которая возвращает таблицу значений с контрагентами, 
у которых на заданную дату есть долг больше МинДолг, и этот долг, или его часть, образовался более СрокДолга дней назад. Задолженность смотреть в регистре накопления Взаиморасчеты.
В таблице должны быть колонки: Контрагент, ДолгВсего, ДолгПросроченный, ДатаОбразованияДолга.","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_009,server,high,,"Функция ПросроченныеДолги(Дата, МинДолг, СрокДолга) Экспорт

    ТаблицаРезультат = Новый ТаблицаЗначений;
    ТаблицаРезультат.Колонки.Добавить(""Контрагент"", СправочникСсылка.Контрагенты);
    ТаблицаРезультат.Колонки.Добавить(""ДолгВсего"", Число);
    ТаблицаРезультат.Колонки.Добавить(""ДолгПросроченный"", Число);
    ТаблицаРезультат.Колонки.Добавить(""ДатаОбразованияДолга"", Дата);

    Запрос = Новый Запрос;
    Запрос.Текст = 
    ""ВЫБРАТЬ
    |    ВзаиморасчетыОстатки.Контрагент,
    |    ВзаиморасчетыОстатки.Сумма КАК ДолгВсего,
    |    ВзаиморасчетыОстатки.Сумма - ВзаиморасчетыОстаткиДо.Сумма КАК ДолгПросроченный,
    |    ВзаиморасчетыДвижения.Дата КАК ДатаОбразованияДолга
    |ИЗ
    |    РЕГИСТРНАКОПЛЕНИЯ.Взаиморасчеты.Остатки(&Дата) КАК ВзаиморасчетыОстатки
    |        ЛЕВОЕ СОЕДИНЕНИЕ РЕГИСТРНАКОПЛЕНИЯ.Взаиморасчеты.Остатки(&ДатаМинусСрок) КАК ВзаиморасчетыОстаткиДо
    |            ПО ВзаиморасчетыОстатки.Контрагент = ВзаиморасчетыОстаткиДо.Контрагент
    |        ЛЕВОЕ СОЕДИНЕНИЕ РЕГИСТРНАКОПЛЕНИЯ.Взаиморасчеты.Движения(&Дата) КАК ВзаиморасчетыДвижения
    |            ПО ВзаиморасчетыОстатки.Контрагент = ВзаиморасчетыДвижения.Контрагент
    |ГДЕ
    |    ВзаиморасчетыОстатки.Сумма > &МинДолг
    |    И ВзаиморасчетыОстатки.Сумма > ВзаиморасчетыОстаткиДо.Сумма
    |СГРУППИРОВАТЬ ПО
    |    ВзаиморасчетыОстатки.Контрагент,
    |    ВзаиморасчетыОстатки.Сумма,
    |    ВзаиморасчетыОстаткиДо.Сумма,
    |    ВзаиморасчетыДвижения.Дата
    |ИМЕЮЩИЕ
    |    МИНИМУМ(ВзаиморасчетыДвижения.Дата) <= &ДатаМинусСрок"";

    Запрос.УстановитьПараметр(""Дата"", Дата);
    Запрос.УстановитьПараметр(""ДатаМинусСрок"", Дата - СрокДолга);
    Запрос.УстановитьПараметр(""МинДолг"", МинДолг);

    Выборка = Запрос.Выполнить().Выбрать();
    Пока Выборка.Следующий() Цикл
        НоваяСтрока = ТаблицаРезультат.Добавить();
        НоваяСтрока.Контрагент = Выборка.Контрагент;
        НоваяСтрока.ДолгВсего = Выборка.ДолгВсего;
        НоваяСтрока.ДолгПросроченный = Выборка.ДолгПросроченный;
        НоваяСтрока.ДатаОбразованияДолга = Выборка.ДатаОбразованияДолга;
    КонецЦикла;

    Возврат ТаблицаРезультат;

КонецФункции"
"создай функцию СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
Параметры:
 - Письмо - СправочникСсылка.ИсходящиеПисьма - элемент справочника, на основании которого
			следует оформить объект системы ИнтернетПочтовоеСообщение для дальнейшей
				отправки с помощью механизмов интернет почты.
- Отправитель - Строка – email отправителя почтового сообщения

Возвращаемое значение:
    Объект ИнтернетПочтовоеСообщение. Содержит почтовое сообщение, готовое к отправке.","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_010,server,mid,,"Функция СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель) Экспорт

	// Получаем полный объект справочника для доступа к атрибутам и табличным частям
	ПисьмоОбъект = Письмо.ПолучитьОбъект();
	
	// Создаем новое почтовое сообщение
	Сообщение = Новый ИнтернетПочтовоеСообщение;
	
	// Устанавливаем отправителя
	Сообщение.Отправитель = Новый ИнтернетПочтовыйОтправитель(Отправитель);
	
	// Заполняем получателей из табличной части ""Получатели""
	Для Каждого СтрокаПолучателя Из ПисьмоОбъект.Получатели Цикл
		Если НЕ ПустаяСтрока(СтрокаПолучателя.ЭлектроннаяПочта) Тогда
			НовПолучатель = Сообщение.Получатели.Добавить();
			НовПолучатель.Адрес = СтрокаПолучателя.ЭлектроннаяПочта;
			// Тип получателя по умолчанию: ""Получатель""
		КонецЕсли;
	КонецЦикла;
	
	// Если табличная часть пуста, используем значение атрибута ""Получатель""
	Если Сообщение.Получатели.Количество() = 0 И НЕ ПустаяСтрока(ПисьмоОбъект.Получатель) Тогда
		НовПолучатель = Сообщение.Получатели.Добавить();
		НовПолучатель.Адрес = ПисьмоОбъект.Получатель;
	КонецЕсли;
	
	// Устанавливаем текст сообщения
	Если НЕ ПустаяСтрока(ПисьмоОбъект.Текст) Тогда
		Сообщение.Текст = ПисьмоОбъект.Текст;
	КонецЕсли;
	
	// Тема письма не предусмотрена структурой справочника, остается пустой
	// При необходимости можно добавить атрибут ""Тема"" и назначить его аналогично тексту
	
	Возврат Сообщение;

КонецФункции"
