task,context,task_id,env,complexity,original_filename,output
"Создай функцию ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект), которая заполняет табличную часть документа «Заказ» «Товары» остатками из регистра «ТоварныеЗапасы» для склада и даты, заданных в документе. Отбирать только товары видом товара = Товар. Для каждой позиции остатка нужно добавить строку в табличную часть и перенести туда товар и количество.","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_001,server,low,,"Функция ЗаполнитьТабличнуюЧастьОстатками(ДокументОбъект)
	
	// Проверка заполнения обязательных реквизитов
	Если Не ЗначениеЗаполнено(ДокументОбъект.Склад) Или Не ЗначениеЗаполнено(ДокументОбъект.Дата) Тогда
		Возврат Ложь;
	КонецЕсли;
	
	// Очищаем табличную часть перед заполнением
	ДокументОбъект.Товары.Очистить();
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|    ТоварныеЗапасыОстатки.Товар КАК Товар,
	|    ТоварныеЗапасыОстатки.КоличествоОстаток КАК Количество
	|ИЗ
	|    РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата, Склад = &Склад) КАК ТоварныеЗапасыОстатки
	|        ВНУТРЕННЕЕ СОЕДИНЕНИЕ Справочник.Товары КАК Товары
	|        ПО ТоварныеЗапасыОстатки.Товар = Товары.Ссылка
	|ГДЕ
	|    Товары.ВидТовара = &ВидТовара
	|    И ТоварныеЗапасыОстатки.КоличествоОстаток > 0"";
	
	// Для получения остатков на дату документа используем конец дня
	Запрос.УстановитьПараметр(""Дата"", КонецДня(ДокументОбъект.Дата));
	Запрос.УстановитьПараметр(""Склад"", ДокументОбъект.Склад);
	// Предполагается, что ""Товар"" является предопределенным элементом справочника видов товаров
	Запрос.УстановитьПараметр(""ВидТовара"", ПредопределенноеЗначение(""Справочник.ВидыТоваров.Товар""));
	
	Результат = Запрос.Выполнить();
	Выборка = Результат.Выбрать();
	
	Пока Выборка.Следующий() Цикл
		НоваяСтрока = ДокументОбъект.Товары.Добавить();
		НоваяСтрока.Товар = Выборка.Товар;
		НоваяСтрока.Количество = Выборка.Количество;
	КонецЦикла;
	
	Возврат Истина;
	
КонецФункции"
"Создай функцию ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата) которая выводит в табличный документ задолженность по контрагентам из регистра Взаиморасчеты на дату. В макете есть секции Шапка и Строка, в секции строка есть параметры “Контрагент” и “Задолженность”","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_002,server,mid,,"Функция ЗаполнитьТабличныйДокумент(ТабДокумент, Макет, Дата)
	
	Запрос = Новый Запрос;
	Запрос.УстановитьПараметр(""Дата"", КонецДня(Дата));
	
	Запрос.Текст = 
	""ВЫБРАТЬ
	|    ВзаиморасчетыОстатки.Контрагент КАК Контрагент,
	|    СУММА(ВзаиморасчетыОстатки.Сумма) КАК Задолженность
	|ИЗ
	|    РегистрНакопления.Взаиморасчеты.Остатки(&Дата) КАК ВзаиморасчетыОстатки
	|СГРУППИРОВАТЬ ПО
	|    ВзаиморасчетыОстатки.Контрагент
	|УПОРЯДОЧИТЬ ПО
	|    Контрагент"";
	
	РезультатЗапроса = Запрос.Выполнить();
	Выборка = РезультатЗапроса.Выбрать();
	
	ОбластьШапка = Макет.ПолучитьОбласть(""Шапка"");
	ОбластьСтрока = Макет.ПолучитьОбласть(""Строка"");
	
	ТабДокумент.Очистить();
	ТабДокумент.Вывести(ОбластьШапка);
	
	Пока Выборка.Следующий() Цикл
		ОбластьСтрока.Параметры.Контрагент = Выборка.Контрагент;
		ОбластьСтрока.Параметры.Задолженность = Выборка.Задолженность;
		ТабДокумент.Вывести(ОбластьСтрока);
	КонецЦикла;
	
	Возврат ТабДокумент;
	
КонецФункции"
Создай функцию УстановитьСклад(ДокументОбъект) которая устанавливает во всех строках ТЧ «Товары» значение поля «СкладСтроки» равным реквизиту документа «Склад».,"{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_003,server,low,,"Функция УстановитьСклад(ДокументОбъект)
	
	// Проверка корректности переданного объекта
	Если ДокументОбъект = Неопределено Тогда
		Возврат Ложь;
	КонецЕсли;
	
	// Кэшируем значение реквизита шапки для исключения повторных обращений к объекту в цикле
	СкладДокумента = ДокументОбъект.Склад;
	
	// Прямая итерация по табличной части в памяти объекта.
	// Использование запроса здесь нецелесообразно и противоречит лучшим практикам,
	// так как документ еще не записан в базу данных, а изменение идет в оперативной памяти.
	Для Каждого СтрокаТовары Из ДокументОбъект.Товары Цикл
		СтрокаТовары.СкладСтроки = СкладДокумента;
	КонецЦикла;
	
	Возврат Истина;
	
КонецФункции"
Создай функцию УдалитьПоследнююЗапись(Валюта) которая удаляет последнюю по времени запись регистра сведений КурсыВалют с измерением Валюта = Валюта,"{
  ""InformationRegisters"": [
    {
      ""id"": ""КурсыВалют"",
      ""name"": ""Курсы валют"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Курс"",
          ""name"": ""Курс"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_004,server,low,,"Функция УдалитьПоследнююЗапись(Валюта)
	
	Если НЕ ЗначениеЗаполнено(Валюта) Тогда
		Возврат Ложь;
	КонецЕсли;
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ ПЕРВЫЕ 1
	|    КурсыВалют.Период КАК Период
	|ИЗ
	|    РегистрСведений.КурсыВалют КАК КурсыВалют
	|ГДЕ
	|    КурсыВалют.Валюта = &Валюта
	|УПОРЯДОЧИТЬ ПО
	|    Период УБЫВ"";
	Запрос.УстановитьПараметр(""Валюта"", Валюта);
	
	Результат = Запрос.Выполнить();
	Выборка = Результат.Выбрать();
	
	Если Выборка.Следующий() Тогда
		МенеджерЗаписи = РегистрыСведений.КурсыВалют.СоздатьМенеджерЗаписи();
		МенеджерЗаписи.Период = Выборка.Период;
		МенеджерЗаписи.Валюта = Валюта;
		МенеджерЗаписи.Прочитать();
		
		Если МенеджерЗаписи.Выбран() Тогда
			МенеджерЗаписи.Удалить();
			Возврат Истина;
		КонецЕсли;
	КонецЕсли;
	
	Возврат Ложь;
	
КонецФункции"
Создай функцию НеУстановленыЦены(Поставщик) которая возвращает СписокЗначений с элементами справочника Товары у которых Поставщик = Поставщик и нет записи в регистре сведений ЦеныТоваров,"{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_005,server,low,,"Функция НеУстановленыЦены(Поставщик)
	
	Если Не ЗначениеЗаполнено(Поставщик) Тогда
		Возврат Новый СписокЗначений;
	КонецЕсли;
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|	Товары.Ссылка КАК Товар
	|ИЗ
	|	Справочник.Товары КАК Товары
	|ГДЕ
	|	Товары.Поставщик = &Поставщик
	|	И Товары.Ссылка НЕ В (
	|		ВЫБРАТЬ
	|			Цены.Товар
	|		ИЗ
	|			РегистрСведений.ЦеныТоваров КАК Цены
	|	)"";
	
	Запрос.УстановитьПараметр(""Поставщик"", Поставщик);
	
	Выборка = Запрос.Выполнить().Выбрать();
	
	СписокТоваров = Новый СписокЗначений;
	Пока Выборка.Следующий() Цикл
		СписокТоваров.Добавить(Выборка.Товар);
	КонецЦикла;
	
	Возврат СписокТоваров;
	
КонецФункции"
"Создай функцию ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson), которая получает остаки товаров склада на текущую дату из регистра ТоварныеЗапасы у которых остаток больше или равен значению МинимальныйОстаток. Записать файл в json формате как список с полями ""Товар_Код"", ""Товар_Наименование"", ""Остаток"" (число, округленное до целого). Строки списка должны быть упорядочены по возрастанию поля Товар_Код","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_006,server,mid,,"Функция ВыгрузитьОстаткиСклада(Склад, МинимальныйОстаток, ФайлJson)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|    ТоварныеЗапасыОстатки.Товар.Код КАК Товар_Код,
	|    ТоварныеЗапасыОстатки.Товар.Наименование КАК Товар_Наименование,
	|    ТоварныеЗапасыОстатки.КоличествоОстаток КАК Остаток
	|ИЗ
	|    РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата) КАК ТоварныеЗапасыОстатки
	|ГДЕ
	|    ТоварныеЗапасыОстатки.Склад = &Склад
	|    И ТоварныеЗапасыОстатки.КоличествоОстаток >= &МинимальныйОстаток
	|УПОРЯДОЧИТЬ ПО
	|    Товар_Код ВОЗР"";
	
	Запрос.УстановитьПараметр(""Дата"", ТекущаяДата());
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""МинимальныйОстаток"", МинимальныйОстаток);
	
	РезультатЗапроса = Запрос.Выполнить();
	Выборка = РезультатЗапроса.Выбрать();
	
	МассивДанных = Новый Массив;
	
	Пока Выборка.Следующий() Цикл
		СтрокаДанных = Новый Структура;
		СтрокаДанных.Вставить(""Товар_Код"", Выборка.Товар_Код);
		СтрокаДанных.Вставить(""Товар_Наименование"", Выборка.Товар_Наименование);
		СтрокаДанных.Вставить(""Остаток"", Окр(Выборка.Остаток, 0));
		МассивДанных.Добавить(СтрокаДанных);
	КонецЦикла;
	
	ЗаписьJSON = Новый ЗаписьJSON;
	ЗаписьJSON.ОткрытьФайл(ФайлJson);
	ЗаписатьJSON(ЗаписьJSON, МассивДанных);
	ЗаписьJSON.Закрыть();
	
	Возврат Истина;
	
КонецФункции"
"создай функцию ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование), которая получает на вход параметр типа ТаблицаЗначений
в которой есть колонки ""Склад"", ""Товар"" типа справочник Товары, ""Количество"". Нужно вернуть ТаблицуЗначений, в которую войдут только те строки из входной таблицы, 
у которых значение в колонке ""Склад"" равно параметру Склад, а значение в колонке ""Товар.Наименование"" содержит подстроку параметра ""Наименование"".",,task_007,server,low,,"Функция ВыбратьСтрокиТаблицы(Таблица, Склад, Наименование)
	
	// Оптимизация: если таблица пустая, нет смысла выполнять запрос
	Если Таблица = Неопределено ИЛИ Таблица.Количество() = 0 Тогда
		Возврат Новый ТаблицаЗначений;
	КонецЕсли;
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|    Т.Склад,
	|    Т.Товар,
	|    Т.Количество
	|ИЗ
	|    &Таблица КАК Т
	|ГДЕ
	|    Т.Склад = &Склад
	|    И Т.Товар.Наименование ПОДОБНО &ШаблонНаименования"";
	
	Запрос.УстановитьПараметр(""Таблица"", Таблица);
	Запрос.УстановитьПараметр(""Склад"", Склад);
	Запрос.УстановитьПараметр(""ШаблонНаименования"", ""%"" + Строка(Наименование) + ""%"");
	
	Возврат Запрос.Выполнить().Выгрузить();
	
КонецФункции"
"Создай функцию УшедшийТовар(Дата1, Дата2), которая возвращает таблицу значений с товаром, который был на складе (любом) на Дата1, но отсутствует на складе на Дата2. 
Использовать остатки регистра ""ТоварныеЗапасы"".
В таблице должны быть колонки: ""Товар"" (ссылка на справочник Товары), ""Количество"" (количество товара на Дата1).","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""ТоварныеЗапасы"",
      ""name"": ""Товарные запасы"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Количество"",
          ""name"": ""Количество"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_008,server,mid,,"Функция УшедшийТовар(Дата1, Дата2)
	
	Запрос = Новый Запрос;
	Запрос.Текст = 
	""ВЫБРАТЬ
	|    Остатки1.Товар КАК Товар,
	|    СУММА(Остатки1.КоличествоОстаток) КАК Количество
	|ПОМЕСТИТЬ ВТ_НачальныеОстатки
	|ИЗ
	|    РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата1, ) КАК Остатки1
	|ГДЕ
	|    Остатки1.КоличествоОстаток > 0
	|СГРУППИРОВАТЬ ПО
	|    Остатки1.Товар
	|;
	|
	|ВЫБРАТЬ
	|    Остатки2.Товар КАК Товар
	|ПОМЕСТИТЬ ВТ_КонечныеОстатки
	|ИЗ
	|    РегистрНакопления.ТоварныеЗапасы.Остатки(&Дата2, ) КАК Остатки2
	|ГДЕ
	|    Остатки2.КоличествоОстаток > 0
	|СГРУППИРОВАТЬ ПО
	|    Остатки2.Товар
	|;
	|
	|ВЫБРАТЬ
	|    ВТ_НачальныеОстатки.Товар КАК Товар,
	|    ВТ_НачальныеОстатки.Количество КАК Количество
	|ИЗ
	|    ВТ_НачальныеОстатки КАК ВТ_НачальныеОстатки
	|    ЛЕВОЕ СОЕДИНЕНИЕ ВТ_КонечныеОстатки КАК ВТ_КонечныеОстатки
	|    ПО ВТ_НачальныеОстатки.Товар = ВТ_КонечныеОстатки.Товар
	|ГДЕ
	|    ВТ_КонечныеОстатки.Товар ЕСТЬ NULL"";
	
	// Для регистров остатков дату необходимо приводить к концу дня, 
	// чтобы коррепно получить остатки на конец указанной даты
	Запрос.УстановитьПараметр(""Дата1"", КонецДня(Дата1));
	Запрос.УстановитьПараметр(""Дата2"", КонецДня(Дата2));
	
	Результат = Запрос.Выполнить();
	
	// Метод Выгрузить() автоматически формирует ТаблицуЗначений 
	// с колонками и типами, соответствующими результату запроса
	Возврат Результат.Выгрузить();
	
КонецФункции"
"создай функцию ПросроченныеДолги(Дата, МинДолг, СрокДолга), которая возвращает таблицу значений с контрагентами, 
у которых на заданную дату есть долг больше МинДолг, и этот долг, или его часть, образовался более СрокДолга дней назад. Задолженность смотреть в регистре накопления Взаиморасчеты.
В таблице должны быть колонки: Контрагент, ДолгВсего, ДолгПросроченный, ДатаОбразованияДолга.","{
  ""AccumulationRegisters"": [
    {
      ""id"": ""Взаиморасчеты"",
      ""name"": ""Взаиморасчеты"",
      ""RegisterType"": ""Balance"",
      ""Dimensions"": [
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        },
        {
          ""id"": ""Валюта"",
          ""name"": ""Валюта"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Валюты""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Сумма"",
          ""name"": ""Сумма"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_009,server,high,,"Функция ПросроченныеДолги(Дата, МинДолг, СрокДолга)
	
	// Определяем граничные даты для анализа задолженности
	ДатаПорога = КонецДня(ДобавитьКДате(Дата, ДЕНЬ, -СрокДолга));
	ДатаКонца  = КонецДня(Дата);
	
	Запрос = Новый Запрос;
	Запрос.УстановитьПараметр(""Дата"", ДатаКонца);
	Запрос.УстановитьПараметр(""ДатаПорога"", ДатаПорога);
	Запрос.УстановитьПараметр(""МинДолг"", МинДолг);
	
	Запрос.Текст = 
	""ВЫБРАТЬ
	|    ОстаткиНаДата.Контрагент КАК Контрагент,
	|    СУММА(ОстаткиНаДата.СуммаОстаток) КАК ДолгВсего,
	|    ЕСТЬNULL(СУММА(ОстаткиНаПорог.СуммаОстаток), 0) КАК ДолгНаПорог,
	|    МАКСИМУМ(ПервыеДвижения.ПерваяДата) КАК ДатаОбразованияДолга
	|ИЗ
	|    РегистрНакопления.Взаиморасчеты.Остатки(&Дата) КАК ОстаткиНаДата
	|        ЛЕВОЕ СОЕДИНЕНИЕ РегистрНакопления.Взаиморасчеты.Остатки(&ДатаПорога) КАК ОстаткиНаПорог
	|        ПО ОстаткиНаДата.Контрагент = ОстаткиНаПорог.Контрагент
	|        ЛЕВОЕ СОЕДИНЕНИЕ (ВЫБРАТЬ
	|            Движения.Контрагент КАК Контрагент,
	|            МИНИМУМ(Движения.Период) КАК ПерваяДата
	|        ИЗ
	|            РегистрНакопления.Взаиморасчеты КАК Движения
	|        ГДЕ
	|            Движения.ВидДвижения = ЗНАЧЕНИЕ(Перечисление.ВидыДвиженийНакопления.Приход)
	|        СГРУППИРОВАТЬ ПО
	|            Движения.Контрагент) КАК ПервыеДвижения
	|        ПО ОстаткиНаДата.Контрагент = ПервыеДвижения.Контрагент
	|СГРУППИРОВАТЬ ПО
	|    ОстаткиНаДата.Контрагент
	|ИМЕЮЩИЕ
	|    СУММА(ОстаткиНаДата.СуммаОстаток) > &МинДолг
	|    И ЕСТЬNULL(СУММА(ОстаткиНаПорог.СуммаОстаток), 0) > 0"";
	
	РезультатЗапроса = Запрос.Выполнить();
	Выборка = РезультатЗапроса.Выбрать();
	
	ТаблицаРезультат = Новый ТаблицаЗначений;
	ТаблицаРезультат.Колонки.Добавить(""Контрагент"");
	ТаблицаРезультат.Колонки.Добавить(""ДолгВсего"");
	ТаблицаРезультат.Колонки.Добавить(""ДолгПросроченный"");
	ТаблицаРезультат.Колонки.Добавить(""ДатаОбразованияДолга"");
	
	Пока Выборка.Следующий() Цикл
		НоваяСтрока = ТаблицаРезультат.Добавить();
		НоваяСтрока.Контрагент = Выборка.Контрагент;
		НоваяСтрока.ДолгВсего = Выборка.ДолгВсего;
		
		// Просроченной считается та часть долга, которая уже существовала на дату порога.
		// Если текущий долг меньше порога, значит часть была оплачена, и просроченным остается только текущий остаток.
		НоваяСтрока.ДолгПросроченный = Мин(Выборка.ДолгВсего, Выборка.ДолгНаПорог);
		
		НоваяСтрока.ДатаОбразованияДолга = Выборка.ДатаОбразованияДолга;
	КонецЦикла;
	
	Возврат ТаблицаРезультат;
	
КонецФункции"
"создай функцию СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
Параметры:
 - Письмо - СправочникСсылка.ИсходящиеПисьма - элемент справочника, на основании которого
			следует оформить объект системы ИнтернетПочтовоеСообщение для дальнейшей
				отправки с помощью механизмов интернет почты.
- Отправитель - Строка – email отправителя почтового сообщения

Возвращаемое значение:
    Объект ИнтернетПочтовоеСообщение. Содержит почтовое сообщение, готовое к отправке.","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_010,server,mid,,"Функция СоздатьИнтернетПочтовоеСообщение(Письмо, Отправитель)
	
	// Валидация входных параметров
	Если Не ЗначениеЗаполнено(Письмо) Тогда
		ВызватьИсключение ""Не передан параметр """"Письмо""""."";
	КонецЕсли;
	
	Если Не ЗначениеЗаполнено(Отправитель) Тогда
		ВызватьИсключение ""Не передан параметр """"Отправитель""""."";
	КонецЕсли;
	
	// Получаем объект справочника. Использование ПолучитьОбъект() является 
	// лучшей практикой для чтения данных одного элемента по ссылке.
	ПисьмоОбъект = Письмо.ПолучитьОбъект();
	
	Сообщение = Новый ИнтернетПочтовоеСообщение;
	
	// 1. Отправитель
	Сообщение.Отправитель = Новый ИнтернетПочтовыйАдрес(СокрЛП(Отправитель));
	
	// 2. Получатели (приоритет у табличной части)
	Для Каждого СтрокаПолучателя Из ПисьмоОбъект.Получатели Цикл
		Адрес = СокрЛП(СтрокаПолучателя.ЭлектроннаяПочта);
		Если ЗначениеЗаполнено(Адрес) Тогда
			Сообщение.Получатели.Добавить(Новый ИнтернетПочтовыйАдрес(Адрес));
		КонецЕсли;
	КонецЦикла;
	
	// Фоллбэк на строковый реквизит, если ТЧ пуста
	Если Сообщение.Получатели.Количество() = 0 И ЗначениеЗаполнено(ПисьмоОбъект.Получатель) Тогда
		Сообщение.Получатели.Добавить(Новый ИнтернетПочтовыйАдрес(СокрЛП(ПисьмоОбъект.Получатель)));
	КонецЕсли;
	
	// 3. Тема письма (в метаданных поле не предусмотрено, формируем информативную заглушку)
	Сообщение.Тема = ""Исходящее письмо от "" + Формат(ПисьмоОбъект.Дата, ""ДЛФ=D"");
	
	// 4. Текст письма
	Если ЗначениеЗаполнено(ПисьмоОбъект.Текст) Тогда
		Сообщение.Тексты.Добавить(ПисьмоОбъект.Текст, ТипТекстаПочтовогоСообщения.ПростойТекст);
	КонецЕсли;
	
	// 5. Вложения (поле Содержимое)
	Если ЗначениеЗаполнено(ПисьмоОбъект.Содержимое) Тогда
		ДвоичныеДанныеВложения = Неопределено;
		ТипСодержимого = ТипЗнч(ПисьмоОбъект.Содержимое);
		
		Если ТипСодержимого = Тип(""ДвоичныеДанные"") Тогда
			ДвоичныеДанныеВложения = ПисьмоОбъект.Содержимое;
		ИначеЕсли ТипСодержимого = Тип(""ХранилищеЗначения"") Тогда
			ДвоичныеДанныеВложения = ПисьмоОбъект.Содержимое.Получить();
		КонецЕсли;
		
		Если ДвоичныеДанныеВложения <> Неопределено Тогда
			ИмяФайла = ""Вложение_"" + Формат(ПисьмоОбъект.Дата, ""ДФ=yyyyMMdd_HHmmss"") + "".bin"";
			Сообщение.Вложения.Добавить(Новый ИнтернетПочтовоеВложение(ИмяФайла, ДвоичныеДанныеВложения));
		КонецЕсли;
	КонецЕсли;
	
	Возврат Сообщение;
	
КонецФункции"
